,2,3,4,5,6,30,11,9,7,31,8,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,34,35,32,33,$,P,D,D',D*,S,A,A*,IF,W,E,C,EQ,R*,EN0,R,R',RO,A',T*,ASO,T,MDO,F,F*,Y,L,BL,
0,s1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, ,s2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, , ,s3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, , , ,s4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , ,s5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s8,s9,s10,s11, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,7, , 
6, , , , ,s16, ,s17, , , , , , ,s18, ,s19, , , , , , , , , , , , , , , , , , , , , , , , , ,12,13, ,14,15, , , , , , , , , , , , , , , , , , 
7, , , , , , ,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, , , , , , ,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9, , , , , , ,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , ,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , ,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , ,s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , ,r9, , , , , , , , ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , ,r10, , , , , , , , ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , , , , ,r11, , , , , , , , ,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , , , ,s16, ,s17, , , , , , ,s18, ,s19, , , , , , , , , , , , , , , , , , , , , , , , , ,22,13, ,14,15, , , , , , , , , , , , , , , , , , 
17, , , , , , , , , ,s25, , ,s23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24, , , , , , , , , , , , , , , , , , , , 
18, , ,s26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , ,s27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
